"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","","","","When you were 9 or younger","","When you were 9 or younger","","","As an adult","","","","","","As an adult","","","","","","As an adult","","","","","As an adult","As an adult","As an adult","When you were 10 to 17;As an adult","As an adult","","As an adult","As an adult","","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","37","Yes","Nerds","Dots","","Sometimes","Fun spooky a-lifestyle","Female","White","No","35-44","Between start of school and Halloween","Southeast",NA
"Yes","","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","When you were 9 or younger","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","When you were 10 to 17","","","","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","12","No","Hot tamales ","Milky way","","Sometimes","Work chill cute","Female","White","Yes","18-24","Between start of school and Halloween","West",NA
"Yes","","","","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger","When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","As an adult","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","","","","When you were 9 or younger;When you were 10 to 17","One of these ranges, but I forget","as a younger child (9 and under);as an older child (10-17)","Yes","","","1-2","14-15","No","Kit kats","Lollipops ","","Rarely","Fun cute exciting","Female","White","No","25-34","After Halloween","Northeast",NA
"Yes","","When you were 9 or younger","","","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger","","","","","","","","","","","","","","","As an adult","","","","","","","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","","","As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","13",NA,"Candy bar","Candy corn","","Always/almost always","Scary fun challenging","Male","White","No","35-44","After Halloween","Southeast","Yes"
"Yes","","","","","","","When you were 9 or younger","","When you were 9 or younger","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","Yes","","","4","16",NA,"Chocolate Hershey ","Apples","","Never","Myst have candy","Female","White","No","55+","Between start of school and Halloween","Southeast","No"
"Yes","","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","as an older child (10-17)","Yes","","","5","10",NA,"Hersey","Peanuts ","","Never","Fun asume ex","Male","Other","No","18-24","Prefer not to answer/I don't know","Southwest","Yes"
"Yes","When you were 9 or younger","","","When you were 9 or younger","","","","When you were 10 to 17","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","2","30",NA,"Reeses peanut butter cups","Almond joy","","Sometimes","Scary family fun","Female","White","Yes","25-34","Between start of school and Halloween","Southeast","Yes"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","as an older child (10-17);as an adult (18+)","Yes","","","2-12","12-13",NA,"Smarties","Licorice","","Always/almost always","Fun enternaining joyous","Male","White","No","35-44","After Halloween","Southeast","Yes"
"Yes","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","As an adult","","","","","Yes","","","4","15-16",NA,"Kit kat","Good and plenty ","","Never","love Halloween time","Female","White","No","45-54","After Halloween","Midwest","No"
"Yes","","","","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","4","13","No","Kit-Kat","Reese’s Peanut Butter Cups","","Sometimes","Odd enjoyable social","Male","White","No","18-24","Between start of school and Halloween","West",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","as an adult (18+)","Yes","","","5","12",NA,"Candycorn","Mints","","Always/almost always","Fun great awsome","Male","White","No","55+","Between start of school and Halloween","Northeast","No"
"Yes","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","","","","When you were 9 or younger","as an older child (10-17)","Yes","","","5-7","13-14","Yes","Sour patch kids","Solid chocolate","","Always/almost always","Social creative electric","Other","White","No","Under 18","After Halloween","Southwest",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger","","","","","When you were 9 or younger","","","","","","When you were 10 to 17","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","14",NA,"milky way","snickers","","Rarely","bats cats costumes","Female","White","No","25-34","After Halloween","Midwest","No"
"Yes","","","","When you were 9 or younger","When you were 10 to 17;As an adult","When you were 10 to 17;As an adult","","","When you were 9 or younger","","When you were 10 to 17;As an adult","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","","When you were 10 to 17","","","When you were 9 or younger;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","2-4","17-18","No","Kit kat","Milk duds","","Sometimes","Fun Scary Drunk","Female","White","No","18-24","Between start of school and Halloween","Southeast",NA
"Yes","","","","","When you were 10 to 17","","","","","","","When you were 9 or younger","When you were 10 to 17","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","When you were 9 or younger","","","","When you were 9 or younger","","as a younger child (9 and under);as an older child (10-17)","Yes","","","3","17","No","Reese's","Gummy candy","","Always/almost always","spooky fun candy","Other","White","Yes","18-24","Between start of school and Halloween","West",NA
"Yes","","","","When you were 9 or younger;When you were 10 to 17;As an adult","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 10 to 17;As an adult","","","","","When you were 10 to 17","","","","As an adult","","","When you were 9 or younger;As an adult","When you were 9 or younger","","","","","When you were 10 to 17","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","","Yes","","","1","16","No","Snickers","Twizzlers","","Sometimes","Spooky pumpkin costumes","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","as an older child (10-17)","Yes","","","6","14",NA,"Peanut butter logs","Candy corn","","Never","Just for kids","Female","White","Yes","45-54","Between start of school and Halloween","Southwest","No"
"Yes","","","","","","","","","When you were 10 to 17","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","","","","Yes","","","4","15","No","100 grand bar","Whoppers","","Never","Costume makeup loud","Female","White","No","18-24","After Halloween","Southwest",NA
"Yes","","","","","When you were 9 or younger;As an adult","When you were 9 or younger","","","","","","As an adult","","","","","","As an adult","","","As an adult","","","","","","","As an adult","","","","","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","13",NA,"Reese's Peanut Butter Cups","Mary Janes","","Always/almost always","Anything Goes Fun","Male","White","No","45-54","After Halloween","Northeast","No"
"Yes","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 10 to 17","","When you were 10 to 17","","","","as an adult (18+)","Yes","","","2-5","15-16","No","Butterfingers ","Candy corn","","Rarely","Fun funny cool","Female","White","No","25-34","Between start of school and Halloween","West",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","As an adult","When you were 9 or younger;As an adult","as a younger child (9 and under);as an older child (10-17)","Yes","","","5","14","No","Milkyways","Almond joys","","Always/almost always","fun sexy drunk","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","When you were 9 or younger","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","58",NA,"Candy bars","Candy corn","","Never","Fun injoyabull long","Female","White","No","55+","Between start of school and Halloween","US territories","Yes"
"Yes","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","When you were 10 to 17","as an older child (10-17)","Yes","","","3-4","16","No","butterfingers","almond joy","","Never","candy costumes scary","Female","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","One of these ranges, but I forget","","","","","","When you were 9 or younger","","","","","","When you were 9 or younger","When you were 9 or younger","","","","One of these ranges, but I forget","When you were 9 or younger","","","","","When you were 10 to 17","as an older child (10-17)","Yes","","","0-5","16","Yes","Reese's cups","Snickers","","Rarely","spooky fun scary","Female","White","No","Under 18","After Halloween","Northeast",NA
"Yes","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","When you were 10 to 17","","","","","When you were 10 to 17","When you were 10 to 17","","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","30",NA,"Skittles","Reeses","","Always/almost always","Amazing Fun spooktacular","Female","American Indian/Alaska Native;Black/African American","No","25-34","After Halloween","Southeast","Yes"
"Yes","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","as a younger child (9 and under)","Yes","","","5-6","11-12","No","Twix and Snickers ","Chick tracts","","Rarely","Children fucking everywhere","Female","White","No","25-34","After Halloween","Southeast",NA
"Yes","","","","","","When you were 10 to 17","","","","","","","","","","","","","When you were 10 to 17","","","","","","","When you were 10 to 17","","","","","","","","As an adult","When you were 10 to 17;As an adult;One of these ranges, but I forget","","Yes","","","3","17","No","Three Musketeers","Reese’s Peanut Butter Cups","","Never","Trick or treat","Male","White","No","18-24","After Halloween","Northeast",NA
"Yes","","","","","When you were 9 or younger","When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","as an adult (18+)","Yes","","","2-3","13",NA,"Candy Corn","Snickers","","Rarely","Spooky Birthday fun","Female","White","No","25-34","Between start of school and Halloween","Southeast",""
"Yes","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","When you were 10 to 17","","As an adult","One of these ranges, but I forget","As an adult","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","One of these ranges, but I forget","When you were 9 or younger","When you were 9 or younger","As an adult","When you were 10 to 17","When you were 10 to 17","One of these ranges, but I forget","When you were 9 or younger","When you were 9 or younger","As an adult","When you were 10 to 17","When you were 10 to 17","As an adult","When you were 10 to 17","As an adult","When you were 10 to 17","When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","6-7","11-12",NA,"Candy bars","Candy corn","","Rarely","I love it","Male","White","No","45-54","After Halloween","Southeast","Yes"
"Yes","When you were 9 or younger","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","When you were 9 or younger","When you were 9 or younger","","","","","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 10 to 17","When you were 10 to 17","","","","","","as an older child (10-17)","Yes","","","2","25","Yes","M&Ms","Bit O Honey","","Rarely","Fun family friends","Female","White","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","Yes","","","05-06","14",NA,"Snickers","Candy corn","","Rarely","Candy costumes scary","Female","Black/African American","Yes","25-34","Between start of school and Halloween","Northeast","No"
"Yes","","As an adult","","","","","","","","","","","","","","","When you were 10 to 17","","","","When you were 10 to 17;As an adult","","","","When you were 9 or younger","","","","","","","","","As an adult","","","Yes","","","4-6","15","No","Three Musketeers","Reese's","","Rarely","Spooky fall holiday","Male","White","No","25-34","Between start of school and Halloween","Northeast",NA
"Yes","","","","","When you were 9 or younger","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","When you were 10 to 17","","","","","","","","","When you were 10 to 17","","","When you were 10 to 17","","","","When you were 9 or younger","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","6","14",NA,"Peanut butter cups","Candy corn ","","Always/almost always","All year around","Male","White","No","45-54","After Halloween","West","No"
"Yes","","","","When you were 9 or younger","","","When you were 9 or younger","","When you were 9 or younger","","","When you were 10 to 17","","","","","","","","","","","","","","","","","When you were 10 to 17","As an adult","","","","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","5-14","14","No","Milky way","Anything gummy","","Rarely","Spoopy scary skelton","Female","Other","Yes","18-24","Between start of school and Halloween","Northeast",NA
"Yes","","","","","","","","","","","","","","","","","As an adult","","","","","","","","","","","","","","","","When you were 9 or younger","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","13","22","No","reese's pb cups","tootsie rolls","","Sometimes","it is ok","Female","Asian","No","25-34","After Halloween","Northeast",NA
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons","Never","Stupid creepy pointless","Female","White","No","18-24","Prefer not to answer/I don't know","Southeast",NA
"Yes","When you were 10 to 17","","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","When you were 10 to 17","","","","","When you were 10 to 17","When you were 10 to 17","","","When you were 10 to 17","","","","","As an adult","","","","When you were 10 to 17","","","","","","When you were 10 to 17","","As an adult","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","5","15",NA,"Reeses peanut butter cups ","Warheads","","Sometimes","Fun family cold","Female","White","No","25-34","After Halloween","Midwest",""
"Yes","","One of these ranges, but I forget","","","When you were 9 or younger","When you were 10 to 17;As an adult","","","","","","","","","","","","","","As an adult","","","","","","","","","","","","","","","When you were 9 or younger","as an older child (10-17);as an adult (18+)","Yes","","","1","16",NA,"Sour Patch Kids","Mounds","","Always/almost always","Fun spooky candy","Male","White","No","25-34","After Halloween","Midwest","No"
"Yes","When you were 9 or younger","","","As an adult","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","3-5","18","No","Kit Kat","Tootsie Rolls","","Sometimes","Fall spooky scary","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 10 to 17","","When you were 10 to 17","","","","When you were 9 or younger","When you were 9 or younger","","When you were 9 or younger","","","as an adult (18+)","Yes","","","6","12",NA,"Candy bars","Candy corn","","Sometimes","I love it","Male","White","No","45-54","Between start of school and Halloween","Southeast","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Religious reasons","Sometimes","Spooky fun candy","Female","White","No","25-34","After Halloween","Midwest",NA
"Yes","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 10 to 17","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17","","Yes","","","6","15","No","anything with chocolate and peanut butter","anything with coconut","","Sometimes","spooky scary skeletons","Female","White","No","Under 18","Between start of school and Halloween","Midwest",NA
"Yes","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","When you were 10 to 17","","","When you were 10 to 17","When you were 9 or younger","","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger","","When you were 10 to 17","","When you were 10 to 17","When you were 9 or younger","","","","When you were 9 or younger","When you were 10 to 17","as an older child (10-17);as an adult (18+)","Yes","","","3-12","12",NA,"Reeses","Snall Hard candy","","Sometimes","Alot of Fun","Female","White","No","45-54","After Halloween","Midwest","No"
"Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","No","Not common here","Unsure","","","","","","","Rarely","Party scary foreign","Male","White","No","18-24","After Halloween","I do not live in the United States",NA
"Yes","","When you were 9 or younger","","","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","as an older child (10-17);as an adult (18+)","Yes","","","2","12-14",NA,"Peanut butter kisses","Lemon drops","","Sometimes","Kids having fun","Female","White","No","55+","After Halloween","Southeast","No"
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","As an adult","When you were 9 or younger;As an adult","","","","","","","","","","","","","","When you were 9 or younger;When you were 10 to 17","as a younger child (9 and under)","Yes","","","4-5","11","No","Skittles","Those weird individually wrapped hard candies (""Grandma candies"")","","Rarely","Kids Noise Candy","Male","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","as an adult (18+)","Yes","","","6-8","16",NA,"Snickers candy bars","Candy corn","","Sometimes","Enlightening comforting elated","Female","White","No","45-54","After Halloween","Southeast","No"
"Yes","When you were 9 or younger","","","","","","When you were 9 or younger","","","","","When you were 9 or younger;As an adult","","","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","","","","When you were 10 to 17","When you were 10 to 17","","","","As an adult","","as an older child (10-17);as an adult (18+)","Yes","","","3-6","17","","Reese's peanut butter cups","licorice","","Never","candy costumes decorations","Female","White","No","35-44","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","4","13","No","Milky Way","Mounds","","Rarely","Costumes Candy Spooky","Male","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger","When you were 9 or younger","When you were 10 to 17","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","When you were 9 or younger","","","","","","When you were 10 to 17","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","5-6","16-17","No","","","","Sometimes","fun festive unique","Male","Asian","No","18-24","After Halloween","Southwest",NA
"Yes","","","","","When you were 10 to 17","","","","","","","When you were 9 or younger","","","","","","","When you were 9 or younger","When you were 10 to 17","","","","","When you were 9 or younger","","","","","","","","When you were 10 to 17","","When you were 10 to 17","","Yes","","","3-5","14","No","Whoppers","Now and laters","","Never","Fun surreal exciting","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger;When you were 10 to 17","","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17)","Yes","","","0-2","12","Yes","Kit kats","Milk Duds","","Sometimes","Fun Sweet Spooky","Male","White","No","Under 18","After Halloween","Southeast",NA
"Yes","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 9 or younger","When you were 9 or younger","","When you were 9 or younger","","","","When you were 10 to 17","When you were 9 or younger","When you were 9 or younger","as an older child (10-17)","Yes","","","3-5","19-20","Yes","Skittle, Twix, Milky Way","Anything with peanut butter because allergies ","","Rarely","Fun scary orange","Male","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","When you were 9 or younger","When you were 10 to 17","When you were 10 to 17","","","","","","When you were 9 or younger","","","","When you were 10 to 17","","","","","","","","When you were 9 or younger","","","When you were 10 to 17","","","","","","","","When you were 10 to 17","as a younger child (9 and under);as an older child (10-17)","Yes","","","4","13","No","Reeses","Black licorice","","Always/almost always","Slutty alcohol party","Female","White","No","18-24","After Halloween","Midwest",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","","When you were 10 to 17","","","","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3-7","17",NA,"Now and laters","Whoopers","","Always/almost always","Fun exciting scary","Male","White","No","18-24","After Halloween","Northeast","Yes"
"Yes","When you were 9 or younger","","","When you were 9 or younger","When you were 10 to 17","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","","","","When you were 10 to 17;As an adult","","","","","","When you were 10 to 17","","When you were 9 or younger","","as a younger child (9 and under);as an older child (10-17)","Yes","","","6","11","No","Reese's cups or candy corn","Tootsie rolls","","Rarely","spooky scary skeletons","Female","White","No","18-24","Between start of school and Halloween","West",NA
"Yes","","When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","When you were 9 or younger","","","","","","","","","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","When you were 10 to 17","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","as an older child (10-17);as an adult (18+)","Yes","","","2","13","No","Anything chocolate! Reese’s though probably","Twizzlers","","Sometimes","Fun cultural atmospheric","Female","White","No","18-24","After Halloween","West",NA
"Yes","","When you were 9 or younger","","","When you were 10 to 17","When you were 10 to 17","","","","","","","","","","","","","When you were 9 or younger","","","","","","","When you were 10 to 17","","","","","","","","","","as an older child (10-17)","Yes","","","2-4","13","No","","","","Sometimes","Spooky Scary Skeletons","Male","White","No","18-24","After Halloween","Southeast",NA
"Yes","","","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","","","","","When you were 9 or younger","","","","","","When you were 10 to 17;As an adult","","As an adult","","","","as an adult (18+)","Yes","","","6-8","14",NA,"candy corn","smarties","","Sometimes","Fun fabulous spooky","Female","White","No","55+","After Halloween","Southeast","No"
"Yes","","","","","When you were 9 or younger","","When you were 9 or younger","","","","When you were 10 to 17","When you were 9 or younger","","","","","","When you were 10 to 17","","","","","","When you were 9 or younger","When you were 9 or younger","","","","When you were 10 to 17","When you were 10 to 17","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","1","13","","Sweet tarts ","Whoppers ","","Rarely","Candy scary fun","Female","White","No","Under 18","Between start of school and Halloween","Southeast",NA
